Date,Away,Away_3rdQ,Away_Score,Home,Home_3rdQ,Home_Score
1203,Denver Nuggets,81,106,Toronto Raptors,71,105
1203,Orlando Magic,77,103,Utah Jazz,78,94
1203,San Antonio Spurs,74,103,Memphis Grizzlies,57,83
1203,Indiana Pacers,90,111,Portland Trail Blazers,97,123
1204,Brooklyn Nets,67,91,New York Knicks,92,108
1204,Phoenix Suns,85,106,Washington Wizards,78,109
1204,Milwaukee Bucks,59,95,Detroit Pistons,67,102
1204,Los Angeles Lakers,66,87,Atlanta Hawks,72,100
1204,Houston Rockets,78,100,Dallas Mavericks,78,96
1204,Cleveland Cavaliers,77,108,New Orleans Pelicans,84,114
1205,Denver Nuggets,77,108,Philadelphia 76ers,85,105
1205,Golden State Warriors,83,112,Toronto Raptors,79,109
1205,Cleveland Cavaliers,64,84,Miami Heat,83,99
1205,Portland Trail Blazers,80,109,Minnesota Timberwolves,82,103
1205,Sacramento Kings,85,113,Houston Rockets,84,120
1205,Charlotte Hornets,72,102,Chicago Bulls,75,96
1205,New York Knicks,69,91,Milwaukee Bucks,81,106
1205,Boston Celtics,71,105,San Antonio Spurs,86,108
1205,Indiana Pacers,84,119,Utah Jazz,84,122
1205,Orlando Magic,79,101,LA Clippers,74,103
1206,Phoenix Suns,68,93,Memphis Grizzlies,67,95
1206,Los Angeles Lakers,65,91,Detroit Pistons,90,111
1206,Golden State Warriors,87,114,Brooklyn Nets,80,98
1206,Dallas Mavericks,87,116,Washington Wizards,84,104
1206,Sacramento Kings,64,95,Oklahoma City Thunder,76,98
1207,Detroit Pistons,70,84,Charlotte Hornets,88,104
1207,San Antonio Spurs,96,119,Philadelphia 76ers,52,68
1207,Dallas Mavericks,88,104,New York Knicks,72,97
1207,Los Angeles Lakers,71,93,Toronto Raptors,71,102
1207,Washington Wizards,87,114,Miami Heat,84,103
1207,Boston Celtics,81,111,New Orleans Pelicans,67,93
1207,Phoenix Suns,61,103,Chicago Bulls,77,101
1207,Portland Trail Blazers,62,88,Milwaukee Bucks,60,90
1207,LA Clippers,71,110,Minnesota Timberwolves,77,106
1208,Golden State Warriors,111,131,Indiana Pacers,83,123
1208,Portland Trail Blazers,75,100,Cleveland Cavaliers,77,105
1208,Houston Rockets,72,105,Brooklyn Nets,80,110
1208,Oklahoma City Thunder,98,125,Memphis Grizzlies,63,88
